Date,Open,High,Low,Close,Volume,Adj Close
2015-01-27,47.509998,47.599998,46.360001,46.919998,1478000,46.919998
2015-01-26,48.150002,49.080002,47.939999,48.23,724500,48.23
2015-01-23,48.150002,48.610001,47.880001,48.299999,1102900,48.299999
2015-01-22,47.540001,48.450001,47.259998,48.00,803300,48.00
2015-01-21,46.68,47.66,46.599998,47.360001,682600,47.360001
2015-01-20,46.849998,47.27,46.029999,46.610001,699800,46.610001
2015-01-19,46.66,46.759998,45.919998,46.700001,282200,46.700001
2015-01-16,45.540001,46.830002,45.25,46.599998,937900,46.599998
2015-01-15,44.869999,45.91,44.240002,45.439999,1085000,45.439999
2015-01-14,44.400002,44.619999,43.509998,44.209999,551400,44.209999
2015-01-13,44.34,45.299999,44.099998,44.619999,811300,44.619999
2015-01-12,44.599998,45.040001,43.700001,44.049999,595500,44.049999
2015-01-09,45.009998,45.549999,44.349998,44.639999,554900,44.639999
2015-01-08,44.189999,44.98,44.09,44.869999,664100,44.869999
2015-01-07,43.919998,44.349998,43.540001,43.849998,643400,43.849998
2015-01-06,44.00,44.330002,42.919998,43.66,787200,43.66
2015-01-05,43.75,44.209999,43.509998,44.049999,773000,44.049999
2015-01-02,44.50,45.439999,44.169998,44.57,494300,44.57
2014-12-31,44.580002,45.02,44.130001,44.290001,614000,44.290001
2014-12-30,45.029999,45.419998,44.450001,44.57,464300,44.57
2014-12-29,44.849998,45.279999,44.18,45.049999,563900,45.049999
2014-12-24,44.939999,45.549999,44.599998,44.610001,265900,44.610001
2014-12-23,44.619999,44.990002,44.009998,44.830002,483000,44.830002
2014-12-22,44.259998,44.810001,44.060001,44.549999,949200,44.549999
2014-12-19,43.439999,44.34,43.00,44.209999,2409100,44.209999
2014-12-18,42.59,43.139999,42.099998,43.07,1090900,43.07
2014-12-17,41.349998,42.560001,41.200001,42.310001,1294500,42.310001
2014-12-16,40.470001,41.48,40.07,41.110001,987000,41.110001
2014-12-15,40.529999,41.080002,39.93,40.610001,831100,40.610001
2014-12-12,41.099998,41.349998,40.360001,40.389999,474300,40.389999
2014-12-11,41.130001,41.779999,40.700001,41.27,560100,41.27
2014-12-10,41.00,41.400002,40.529999,40.91,846100,40.91
2014-12-09,40.860001,41.290001,40.470001,41.009998,690800,41.009998
2014-12-08,41.880001,41.959999,40.43,41.25,1756500,41.25
2014-12-05,41.23,42.040001,41.16,41.970001,1069500,41.970001
2014-12-04,41.889999,42.41,40.75,40.970001,1580200,40.970001
2014-12-03,41.32,42.02,41.139999,41.91,617200,41.91
2014-12-02,41.709999,42.00,41.290001,41.459999,1377400,41.459999
2014-12-01,41.799999,42.18,41.330002,41.630001,908700,41.630001
2014-11-28,41.900002,42.290001,41.68,41.68,571600,41.68
2014-11-27,41.450001,41.950001,41.259998,41.91,1346200,41.91
2014-11-26,41.16,41.490002,40.830002,41.25,346300,41.25
2014-11-25,41.00,41.299999,40.43,41.099998,765100,41.099998
2014-11-24,41.09,41.470001,40.75,41.07,515700,41.07
2014-11-21,41.009998,41.27,40.75,41.099998,943100,41.099998
2014-11-20,41.490002,41.490002,40.709999,40.900002,699400,40.900002
2014-11-19,41.990002,41.990002,41.310001,41.66,711700,41.66
2014-11-18,41.25,41.900002,41.16,41.52,949600,41.52
2014-11-17,40.900002,41.68,40.52,41.00,1154400,41.00
2014-11-14,40.709999,41.380001,40.599998,40.849998,1090800,40.849998
2014-11-13,39.66,40.810001,39.380001,40.549999,1656900,40.549999
2014-11-12,39.50,39.59,38.860001,39.459999,966800,39.459999
2014-11-10,39.849998,40.73,39.830002,40.389999,684600,40.389999
2014-11-07,39.900002,40.099998,39.360001,39.880001,496900,39.880001
2014-11-06,39.75,40.18,39.400002,39.939999,438500,39.939999
2014-11-05,39.450001,40.18,39.310001,39.549999,542200,39.549999
2014-11-04,38.389999,39.330002,38.389999,39.18,1226900,39.18
2014-11-03,38.880001,38.880001,38.200001,38.439999,377700,38.439999
2014-10-31,38.450001,39.200001,38.389999,38.689999,548300,38.689999
2014-10-30,38.130001,38.529999,37.93,38.07,355900,38.07
2014-10-29,38.639999,38.650002,37.75,38.09,515500,38.09
2014-10-28,38.02,38.73,37.889999,38.610001,395500,38.610001
2014-10-27,37.580002,38.09,37.299999,37.990002,479000,37.990002
2014-10-24,37.23,37.779999,37.02,37.470001,464600,37.470001
2014-10-23,36.970001,37.330002,36.830002,37.169998,564700,37.169998
2014-10-22,37.529999,37.630001,36.59,36.759998,577900,36.759998
2014-10-21,37.00,37.990002,36.75,37.560001,739500,37.560001
2014-10-20,38.00,38.099998,36.349998,36.950001,1102600,36.950001
2014-10-17,37.919998,38.110001,37.560001,37.93,406200,37.93
2014-10-16,37.91,38.099998,37.75,37.880001,1028200,37.880001
2014-10-15,38.060001,38.400002,38.00,38.060001,722900,38.060001
2014-10-14,38.00,38.599998,37.98,38.259998,477200,38.259998
2014-10-10,38.27,38.529999,37.650002,38.029999,838300,38.029999
2014-10-09,38.080002,38.610001,37.950001,38.34,613700,38.34
2014-10-08,37.91,38.310001,37.830002,38.060001,643300,38.060001
2014-10-07,38.310001,38.869999,37.919998,38.029999,618100,38.029999
2014-10-06,38.360001,38.740002,38.310001,38.450001,581800,38.450001
2014-10-03,38.689999,39.060001,38.080002,38.23,739400,38.23
2014-10-02,37.84,38.84,37.700001,38.59,3056500,38.59
2014-10-01,37.650002,37.98,37.59,37.759998,460500,37.759998
2014-09-30,37.509998,38.00,37.220001,37.84,585400,37.84
2014-09-29,37.66,37.900002,37.509998,37.580002,388600,37.580002
2014-09-26,37.310001,37.959999,37.259998,37.82,420200,37.82
2014-09-25,37.970001,38.080002,37.200001,37.34,496500,37.34
2014-09-24,38.07,38.16,37.540001,38.049999,466400,38.049999
2014-09-23,37.669998,38.279999,37.669998,37.990002,630700,37.990002
2014-09-22,38.490002,38.490002,37.150002,37.810001,502200,37.810001
2014-09-19,38.919998,39.040001,37.720001,38.16,1129700,38.16
2014-09-18,38.990002,39.439999,38.77,38.990002,482700,38.990002
2014-09-17,38.779999,38.959999,38.599998,38.900002,307200,38.900002
2014-09-16,38.779999,39.330002,38.669998,38.860001,427100,38.860001
2014-09-15,39.029999,39.139999,38.599998,38.990002,368600,38.990002
2014-09-12,39.23,39.459999,39.00,39.27,559200,39.27
2014-09-11,39.279999,39.349998,38.860001,39.23,605800,39.23
2014-09-10,39.240002,39.669998,39.119999,39.169998,418300,39.169998
2014-09-09,39.400002,39.470001,38.830002,39.139999,614100,39.139999
2014-09-08,39.66,39.869999,39.330002,39.400002,313900,39.400002
2014-09-05,39.57,39.82,39.57,39.650002,443800,39.650002
2014-09-04,39.91,39.959999,39.380001,39.580002,622400,39.580002
2014-09-03,39.450001,40.169998,39.450001,39.84,983800,39.84
2014-09-02,38.549999,39.32,38.290001,39.220001,1064500,39.220001
2014-08-29,38.84,39.080002,38.450001,38.48,659000,38.48
2014-08-28,39.009998,39.27,38.66,38.75,1103600,38.75
2014-08-27,39.34,39.830002,39.130001,39.299999,670600,39.299999
2014-08-26,38.799999,39.389999,38.700001,39.200001,675500,39.200001
2014-08-25,37.91,38.66,37.91,38.650002,528500,38.650002
2014-08-22,38.049999,38.209999,37.75,37.799999,435300,37.799999
2014-08-21,37.639999,38.32,37.619999,37.98,733200,37.98
2014-08-20,36.98,37.700001,36.869999,37.650002,393100,37.650002
